ID,MWE1,MWE2,Language,sentence_1,sentence_2,sim,alternative_1,alternative_2
train_one_shot.en.4.4,guinea pig,None,EN,I initially feared that taking it would make me a guinea pig.,I initially feared that taking it would make me a pig.,None,I initially feared that taking it would make me a test subject.,I initially feared that taking it would make me a pig.
train_one_shot.en.5.1,milk tooth,None,EN,Wouldn’t that have been a milk tooth?,Wouldn’t that have been a baby tooth?,1,,
train_one_shot.en.5.2,milk tooth,None,EN,Wouldn’t that have been a milk tooth?,Wouldn’t that have been a buttermilk tooth?,None,Wouldn’t that have been a baby tooth?,Wouldn’t that have been a buttermilk tooth?
train_one_shot.en.6.1,street girl,None,EN,"In addition, viewers will watch as a professional hit man, a producer, and a street girl end up in the middle of the chaos.","In addition, viewers will watch as a professional hit man, a producer, and a prostitute end up in the middle of the chaos.",1,,
train_one_shot.en.6.2,street girl,None,EN,"In addition, viewers will watch as a professional hit man, a producer, and a street girl end up in the middle of the chaos.","In addition, viewers will watch as a professional hit man, a producer, and a girl living on street end up in the middle of the chaos.",None,"In addition, viewers will watch as a professional hit man, a producer, and a prostitute end up in the middle of the chaos.","In addition, viewers will watch as a professional hit man, a producer, and a girl living on street end up in the middle of the chaos."
train_one_shot.en.7.1,eternal rest,None,EN,"On behalf of the church's priests, deacons and lay faithful of the Archdiocese of Durban, Napier said the church commended Gabuza's soul to the hands of God and prayed that he may enjoy eternal rest.","On behalf of the church's priests, deacons and lay faithful of the Archdiocese of Durban, Napier said the church commended Gabuza's soul to the hands of God and prayed that he may enjoy place in heaven.",1,,
train_one_shot.en.7.2,eternal rest,None,EN,"On behalf of the church's priests, deacons and lay faithful of the Archdiocese of Durban, Napier said the church commended Gabuza's soul to the hands of God and prayed that he may enjoy eternal rest.","On behalf of the church's priests, deacons and lay faithful of the Archdiocese of Durban, Napier said the church commended Gabuza's soul to the hands of God and prayed that he may enjoy permanent rest.",None,"On behalf of the church's priests, deacons and lay faithful of the Archdiocese of Durban, Napier said the church commended Gabuza's soul to the hands of God and prayed that he may enjoy place in heaven.","On behalf of the church's priests, deacons and lay faithful of the Archdiocese of Durban, Napier said the church commended Gabuza's soul to the hands of God and prayed that he may enjoy permanent rest."
train_one_shot.en.8.1,half sister,None,EN,"Another cottage nearby, built in 1904, was owned by her half sister Eliza Virginia Scripps.","Another cottage nearby, built in 1904, was owned by her step sister Eliza Virginia Scripps.",1,,
train_one_shot.en.8.2,half sister,None,EN,"Another cottage nearby, built in 1904, was owned by her half sister Eliza Virginia Scripps.","Another cottage nearby, built in 1904, was owned by her incomplete sister Eliza Virginia Scripps.",None,"Another cottage nearby, built in 1904, was owned by her step sister Eliza Virginia Scripps.","Another cottage nearby, built in 1904, was owned by her incomplete sister Eliza Virginia Scripps."
train_one_shot.en.9.1,benign tumour,None,EN,"In fact, the scientists were able to identify specific differences between the individual patient groups starting at a certain proportion of fatty acids: The spacing patterns and the local environment of the fatty acids were somewhat different in the patients with cancer than in those with a benign tumour as well as in the healthy patients.","In fact, the scientists were able to identify specific differences between the individual patient groups starting at a certain proportion of fatty acids: The spacing patterns and the local environment of the fatty acids were somewhat different in the patients with cancer than in those with a noncancerous tumour as well as in the healthy patients.",1,,
train_one_shot.en.10.1,baby buggy,None,EN,"And so, your ability to focus on reading a 10 page document about how to assemble your baby buggy is not really something that was working for the customers; they were finding it way too difficult.","And so, your ability to focus on reading a 10 page document about how to assemble your pram is not really something that was working for the customers; they were finding it way too difficult.",1,,
train_one_shot.en.11.1,dirty money,None,EN,"The AMLC was granted expanded powers to investigate, issue subpoenas, and conduct search and seizure, thus making it easier for the council to go after accounts suspected of harboring dirty money; and to preserve, manage, or dispose of assets pursuant to a freeze order, preservation order, or judgment of forfeiture.","The AMLC was granted expanded powers to investigate, issue subpoenas, and conduct search and seizure, thus making it easier for the council to go after accounts suspected of harboring illegal money; and to preserve, manage, or dispose of assets pursuant to a freeze order, preservation order, or judgment of forfeiture.",1,,
train_one_shot.en.11.2,dirty money,None,EN,"The AMLC was granted expanded powers to investigate, issue subpoenas, and conduct search and seizure, thus making it easier for the council to go after accounts suspected of harboring dirty money; and to preserve, manage, or dispose of assets pursuant to a freeze order, preservation order, or judgment of forfeiture.","The AMLC was granted expanded powers to investigate, issue subpoenas, and conduct search and seizure, thus making it easier for the council to go after accounts suspected of harboring grimy money; and to preserve, manage, or dispose of assets pursuant to a freeze order, preservation order, or judgment of forfeiture.",None,"The AMLC was granted expanded powers to investigate, issue subpoenas, and conduct search and seizure, thus making it easier for the council to go after accounts suspected of harboring illegal money; and to preserve, manage, or dispose of assets pursuant to a freeze order, preservation order, or judgment of forfeiture.","The AMLC was granted expanded powers to investigate, issue subpoenas, and conduct search and seizure, thus making it easier for the council to go after accounts suspected of harboring grimy money; and to preserve, manage, or dispose of assets pursuant to a freeze order, preservation order, or judgment of forfeiture."
train_one_shot.en.11.3,dirty money,None,EN," Or if you touch dirty money and then touch a door knob, elevator button, or the touchscreen at the ATM, you could also spread infection. "," Or if you touch grimy money and then touch a door knob, elevator button, or the touchscreen at the ATM, you could also spread infection. ",1,,
train_one_shot.en.11.4,dirty money,None,EN," Or if you touch dirty money and then touch a door knob, elevator button, or the touchscreen at the ATM, you could also spread infection. "," Or if you touch illegal money and then touch a door knob, elevator button, or the touchscreen at the ATM, you could also spread infection. ",None," Or if you touch grimy money and then touch a door knob, elevator button, or the touchscreen at the ATM, you could also spread infection. "," Or if you touch illegal money and then touch a door knob, elevator button, or the touchscreen at the ATM, you could also spread infection. "
train_one_shot.en.12.1,old timer,None,EN,Remove the wires from the old timer and take the timer with you to the appliance-parts store to get an exact replacement.,Remove the wires from the antique clock and take the timer with you to the appliance-parts store to get an exact replacement.,1,,
train_one_shot.en.12.2,old timer,None,EN,Remove the wires from the old timer and take the timer with you to the appliance-parts store to get an exact replacement.,Remove the wires from the veterans and take the timer with you to the appliance-parts store to get an exact replacement.,None,Remove the wires from the antique clock and take the timer with you to the appliance-parts store to get an exact replacement.,Remove the wires from the veterans and take the timer with you to the appliance-parts store to get an exact replacement.
train_one_shot.en.12.3,old timer,None,EN,"Despite being an old timer, he’s still a master strategist and one helluva motivational speaker, which are skills he can put to use from behind a desk.","Despite being an veterans, he’s still a master strategist and one helluva motivational speaker, which are skills he can put to use from behind a desk.",1,,
train_one_shot.en.12.4,old timer,None,EN,"Despite being an old timer, he’s still a master strategist and one helluva motivational speaker, which are skills he can put to use from behind a desk.","Despite being an antique clock, he’s still a master strategist and one helluva motivational speaker, which are skills he can put to use from behind a desk.",None,"Despite being an veterans, he’s still a master strategist and one helluva motivational speaker, which are skills he can put to use from behind a desk.","Despite being an antique clock, he’s still a master strategist and one helluva motivational speaker, which are skills he can put to use from behind a desk."
train_one_shot.en.13.1,close call,None,EN,That close call should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,That narrow escape should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,1,,
train_one_shot.en.13.2,close call,None,EN,That close call should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,That near call should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,None,That narrow escape should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,That near call should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.
train_one_shot.en.13.3,close call,None,EN,That close call should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,That difficult decision should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,None,That narrow escape should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.,That difficult decision should compel robust criminal investigations — not only to hold accountable all those who entered the Capitol but also to tell us exactly what Trump knew when he gave his speech that morning inciting the rioters.
train_one_shot.en.14.1,wet blanket,None,EN,"When Marie brings him down to earth, it's not clear if she's being a passive- aggressive wet blanket or if she might have a point.","When Marie brings him down to earth, it's not clear if she's being a passive- aggressive killjoy or if she might have a point.",1,,
train_one_shot.en.14.2,wet blanket,None,EN,"When Marie brings him down to earth, it's not clear if she's being a passive- aggressive wet blanket or if she might have a point.","When Marie brings him down to earth, it's not clear if she's being a passive- aggressive damp blanket or if she might have a point.",None,"When Marie brings him down to earth, it's not clear if she's being a passive- aggressive killjoy or if she might have a point.","When Marie brings him down to earth, it's not clear if she's being a passive- aggressive damp blanket or if she might have a point."
train_one_shot.en.14.3,wet blanket,None,EN,"And finally, the snow falls again, this time in a thick, wet blanket that encapsulates everything.","And finally, the snow falls again, this time in a thick, damp blanket that encapsulates everything.",1,,
train_one_shot.en.14.4,wet blanket,None,EN,"And finally, the snow falls again, this time in a thick, wet blanket that encapsulates everything.","And finally, the snow falls again, this time in a thick, killjoy that encapsulates everything.",None,"And finally, the snow falls again, this time in a thick, damp blanket that encapsulates everything.","And finally, the snow falls again, this time in a thick, killjoy that encapsulates everything."
train_one_shot.en.15.1,news agency,None,EN,For full or partial reproduction of any material in other media it is required to acquire written permission from Armenpress news agency.,For full or partial reproduction of any material in other media it is required to acquire written permission from Armenpress press agency.,1,,
train_one_shot.en.16.1,dead end,None,EN,The incident began with a call to police about an abandoned car that had possibly run into the dead end wall where Roscecrans meets The Strand pedestrian walkway.,The incident began with a call to police about an abandoned car that had possibly run into the road end wall where Roscecrans meets The Strand pedestrian walkway.,1,,
train_one_shot.en.16.2,dead end,None,EN,The incident began with a call to police about an abandoned car that had possibly run into the dead end wall where Roscecrans meets The Strand pedestrian walkway.,The incident began with a call to police about an abandoned car that had possibly run into the extinct conclusion wall where Roscecrans meets The Strand pedestrian walkway.,None,The incident began with a call to police about an abandoned car that had possibly run into the road end wall where Roscecrans meets The Strand pedestrian walkway.,The incident began with a call to police about an abandoned car that had possibly run into the extinct conclusion wall where Roscecrans meets The Strand pedestrian walkway.
train_one_shot.en.16.3,dead end,None,EN,The incident began with a call to police about an abandoned car that had possibly run into the dead end wall where Roscecrans meets The Strand pedestrian walkway.,The incident began with a call to police about an abandoned car that had possibly run into the lacking opportunities wall where Roscecrans meets The Strand pedestrian walkway.,None,The incident began with a call to police about an abandoned car that had possibly run into the road end wall where Roscecrans meets The Strand pedestrian walkway.,The incident began with a call to police about an abandoned car that had possibly run into the lacking opportunities wall where Roscecrans meets The Strand pedestrian walkway.
train_one_shot.en.17.1,insurance policy,None,EN,"And while the convention center never hosted a single patient, it ""served as an essential insurance policy for Colorado,"" said Micki Trost, communications director for the state's emergency management division.","And while the convention center never hosted a single patient, it ""served as an essential back up for Colorado,"" said Micki Trost, communications director for the state's emergency management division.",1,,
train_one_shot.en.17.2,insurance policy,None,EN,"And while the convention center never hosted a single patient, it ""served as an essential insurance policy for Colorado,"" said Micki Trost, communications director for the state's emergency management division.","And while the convention center never hosted a single patient, it ""served as an essential contract for Colorado,"" said Micki Trost, communications director for the state's emergency management division.",None,"And while the convention center never hosted a single patient, it ""served as an essential back up for Colorado,"" said Micki Trost, communications director for the state's emergency management division.","And while the convention center never hosted a single patient, it ""served as an essential contract for Colorado,"" said Micki Trost, communications director for the state's emergency management division."
train_one_shot.en.17.3,insurance policy,None,EN,The business interruption insurance policy Noble refers to is modelled on a $50million Temporary Interruption Fund currently in place for the Australian film industry.,The business interruption contract Noble refers to is modelled on a $50million Temporary Interruption Fund currently in place for the Australian film industry.,1,,
train_one_shot.en.17.4,insurance policy,None,EN,The business interruption insurance policy Noble refers to is modelled on a $50million Temporary Interruption Fund currently in place for the Australian film industry.,The business interruption back up Noble refers to is modelled on a $50million Temporary Interruption Fund currently in place for the Australian film industry.,None,The business interruption contract Noble refers to is modelled on a $50million Temporary Interruption Fund currently in place for the Australian film industry.,The business interruption back up Noble refers to is modelled on a $50million Temporary Interruption Fund currently in place for the Australian film industry.
train_one_shot.en.18.1,prison guard,None,EN,"He had worked as a prison guard from 2010 to 2013 but was fired after being caught smuggling active yeast into jail to make a homemade spirit known as ‘Mad Maria’, which is popular in Brazilian prisons.","He had worked as a prison warden from 2010 to 2013 but was fired after being caught smuggling active yeast into jail to make a homemade spirit known as ‘Mad Maria’, which is popular in Brazilian prisons.",1,,
train_one_shot.en.19.1,sparkling water,None,EN,"The sparkling water maker category is up 84% year over year, and SodaStream is the sparkling water maker global leader.”","The carbonated water maker category is up 84% year over year, and SodaStream is the carbonated water maker global leader.”",1,,
train_one_shot.en.20.1,brain teaser,None,EN,"Although the veracity of that story may be a matter for discussion, it's clear that regardless of how the puzzle came into being, his toy is one of the toughest brain teasers ever loosed on a human mind.","Although the veracity of that story may be a matter for discussion, it's clear that regardless of how the puzzle came into being, his toy is one of the toughest hard problems ever loosed on a human mind.",1,,
train_one_shot.en.20.2,brain teaser,None,EN,"Although the veracity of that story may be a matter for discussion, it's clear that regardless of how the puzzle came into being, his toy is one of the toughest brain teasers ever loosed on a human mind.","Although the veracity of that story may be a matter for discussion, it's clear that regardless of how the puzzle came into being, his toy is one of the toughest cerebellum teasers ever loosed on a human mind.",None,"Although the veracity of that story may be a matter for discussion, it's clear that regardless of how the puzzle came into being, his toy is one of the toughest hard problems ever loosed on a human mind.","Although the veracity of that story may be a matter for discussion, it's clear that regardless of how the puzzle came into being, his toy is one of the toughest cerebellum teasers ever loosed on a human mind."
train_one_shot.en.21.1,old hat,None,EN,Serve our favorite bourbon whiskeys in an old hat and we’d still probably take a sip or two.,Serve our favorite bourbon whiskeys in an antique hat and we’d still probably take a sip or two.,1,,
train_one_shot.en.21.2,old hat,None,EN,Serve our favorite bourbon whiskeys in an old hat and we’d still probably take a sip or two.,Serve our favorite bourbon whiskeys in an old fashioned and we’d still probably take a sip or two.,None,Serve our favorite bourbon whiskeys in an antique hat and we’d still probably take a sip or two.,Serve our favorite bourbon whiskeys in an old fashioned and we’d still probably take a sip or two.
train_one_shot.en.21.3,old hat,None,EN,But not all of the accouterments of power are old hat for the president.,But not all of the accouterments of power are old fashioned for the president.,1,,
train_one_shot.en.21.4,old hat,None,EN,But not all of the accouterments of power are old hat for the president.,But not all of the accouterments of power are antique hat for the president.,None,But not all of the accouterments of power are old fashioned for the president.,But not all of the accouterments of power are antique hat for the president.
train_one_shot.en.22.1,old flame,None,EN,"The record starts with the first date (“Cash Only”) with its combination of nervousness and hope for what lies ahead, and continues seamlessly through to “Leaving the Party,” as the protagonist runs into an old flame (presumably the girl in the album) at a party months later.","The record starts with the first date (“Cash Only”) with its combination of nervousness and hope for what lies ahead, and continues seamlessly through to “Leaving the Party,” as the protagonist runs into an past lover (presumably the girl in the album) at a party months later.",1,,
train_one_shot.en.22.2,old flame,None,EN,"The record starts with the first date (“Cash Only”) with its combination of nervousness and hope for what lies ahead, and continues seamlessly through to “Leaving the Party,” as the protagonist runs into an old flame (presumably the girl in the album) at a party months later.","The record starts with the first date (“Cash Only”) with its combination of nervousness and hope for what lies ahead, and continues seamlessly through to “Leaving the Party,” as the protagonist runs into an elderly flame (presumably the girl in the album) at a party months later.",None,"The record starts with the first date (“Cash Only”) with its combination of nervousness and hope for what lies ahead, and continues seamlessly through to “Leaving the Party,” as the protagonist runs into an past lover (presumably the girl in the album) at a party months later.","The record starts with the first date (“Cash Only”) with its combination of nervousness and hope for what lies ahead, and continues seamlessly through to “Leaving the Party,” as the protagonist runs into an elderly flame (presumably the girl in the album) at a party months later."
train_one_shot.en.23.1,sound judgement,None,EN,"This is a very critical time for our nation’s transportation systems, and we believe Mr. Buttigieg’s experience and sound judgement gives him a unique ability to revamp U.S. transportation policy and oversee the largest and most complex aviation system in the world with the insight to tackle the challenging problems facing the industry,"" Captain Joe DePete, president of the Airline Pilots Association International (ALPA) representing 60,000 commercial pilots wrote in a letter endorsing Buttigieg's nomination to the committee on Wednesday.","This is a very critical time for our nation’s transportation systems, and we believe Mr. Buttigieg’s experience and good judgement gives him a unique ability to revamp U.S. transportation policy and oversee the largest and most complex aviation system in the world with the insight to tackle the challenging problems facing the industry,"" Captain Joe DePete, president of the Airline Pilots Association International (ALPA) representing 60,000 commercial pilots wrote in a letter endorsing Buttigieg's nomination to the committee on Wednesday.",1,,
train_one_shot.en.23.2,sound judgement,None,EN,"This is a very critical time for our nation’s transportation systems, and we believe Mr. Buttigieg’s experience and sound judgement gives him a unique ability to revamp U.S. transportation policy and oversee the largest and most complex aviation system in the world with the insight to tackle the challenging problems facing the industry,"" Captain Joe DePete, president of the Airline Pilots Association International (ALPA) representing 60,000 commercial pilots wrote in a letter endorsing Buttigieg's nomination to the committee on Wednesday.","This is a very critical time for our nation’s transportation systems, and we believe Mr. Buttigieg’s experience and noise judgement gives him a unique ability to revamp U.S. transportation policy and oversee the largest and most complex aviation system in the world with the insight to tackle the challenging problems facing the industry,"" Captain Joe DePete, president of the Airline Pilots Association International (ALPA) representing 60,000 commercial pilots wrote in a letter endorsing Buttigieg's nomination to the committee on Wednesday.",None,"This is a very critical time for our nation’s transportation systems, and we believe Mr. Buttigieg’s experience and good judgement gives him a unique ability to revamp U.S. transportation policy and oversee the largest and most complex aviation system in the world with the insight to tackle the challenging problems facing the industry,"" Captain Joe DePete, president of the Airline Pilots Association International (ALPA) representing 60,000 commercial pilots wrote in a letter endorsing Buttigieg's nomination to the committee on Wednesday.","This is a very critical time for our nation’s transportation systems, and we believe Mr. Buttigieg’s experience and noise judgement gives him a unique ability to revamp U.S. transportation policy and oversee the largest and most complex aviation system in the world with the insight to tackle the challenging problems facing the industry,"" Captain Joe DePete, president of the Airline Pilots Association International (ALPA) representing 60,000 commercial pilots wrote in a letter endorsing Buttigieg's nomination to the committee on Wednesday."
train_one_shot.en.24.1,nut case,None,EN,I know someone is going to say something like what a moron or nut case when I bring up scripture but it's coming anyway.,I know someone is going to say something like what a moron or crazy person when I bring up scripture but it's coming anyway.,1,,
train_one_shot.en.24.2,nut case,None,EN,I know someone is going to say something like what a moron or nut case when I bring up scripture but it's coming anyway.,I know someone is going to say something like what a moron or seed case when I bring up scripture but it's coming anyway.,None,I know someone is going to say something like what a moron or crazy person when I bring up scripture but it's coming anyway.,I know someone is going to say something like what a moron or seed case when I bring up scripture but it's coming anyway.
train_one_shot.en.25.1,armchair critic,None,EN,This means that there was no way he could be an armchair critic.,This means that there was no way he could be an inexperienced critic.,1,,
train_one_shot.en.25.2,armchair critic,None,EN,This means that there was no way he could be an armchair critic.,This means that there was no way he could be an critic in a chair.,None,This means that there was no way he could be an inexperienced critic.,This means that there was no way he could be an critic in a chair.
train_one_shot.en.26.1,elbow grease,None,EN,"Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some elbow grease.","Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some hard work.",1,,
train_one_shot.en.26.2,elbow grease,None,EN,"Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some elbow grease.","Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some joint grease.",None,"Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some hard work.","Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some joint grease."
train_one_shot.en.26.3,elbow grease,None,EN,"Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some elbow grease.","Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some cleaning liquid.",None,"Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some hard work.","Around town, several residents could be seen clearing off sidewalks and front steps, either with the help of a snowblower or with nothing but a shovel and some cleaning liquid."
train_one_shot.en.27.1,mother tongue,None,EN,Prime Minister Narendra Modi has pitched the idea of setting up one medical college and one technical institute in each state that imparts knowledge to the students in the area's mother tongue or native language for the ease of education.,Prime Minister Narendra Modi has pitched the idea of setting up one medical college and one technical institute in each state that imparts knowledge to the students in the area's native language or native language for the ease of education.,1,,
train_one_shot.en.27.2,mother tongue,None,EN,Prime Minister Narendra Modi has pitched the idea of setting up one medical college and one technical institute in each state that imparts knowledge to the students in the area's mother tongue or native language for the ease of education.,Prime Minister Narendra Modi has pitched the idea of setting up one medical college and one technical institute in each state that imparts knowledge to the students in the area's parent tongue or native language for the ease of education.,None,Prime Minister Narendra Modi has pitched the idea of setting up one medical college and one technical institute in each state that imparts knowledge to the students in the area's native language or native language for the ease of education.,Prime Minister Narendra Modi has pitched the idea of setting up one medical college and one technical institute in each state that imparts knowledge to the students in the area's parent tongue or native language for the ease of education.
train_one_shot.en.28.1,loose woman,None,EN,"Nammi said that in traditional Kurdish culture, a divorced woman was considered ""not a very good woman, a loose woman.","Nammi said that in traditional Kurdish culture, a divorced woman was considered ""not a very good woman, a promiscuous woman.",1,,
train_one_shot.en.28.2,loose woman,None,EN,"Nammi said that in traditional Kurdish culture, a divorced woman was considered ""not a very good woman, a loose woman.","Nammi said that in traditional Kurdish culture, a divorced woman was considered ""not a very good woman, a wobbly woman.",None,"Nammi said that in traditional Kurdish culture, a divorced woman was considered ""not a very good woman, a promiscuous woman.","Nammi said that in traditional Kurdish culture, a divorced woman was considered ""not a very good woman, a wobbly woman."
train_one_shot.en.29.1,grey matter,None,EN,"The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or grey matter, present.","The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or brain matter, present.",1,,
train_one_shot.en.29.2,grey matter,None,EN,"The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or grey matter, present.","The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or grey material, present.",None,"The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or brain matter, present.","The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or grey material, present."
train_one_shot.en.29.3,grey matter,None,EN,"The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or grey matter, present.","The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or mind, present.",None,"The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or brain matter, present.","The researchers were particularly interested in the hippocampus because earlier work has suggested that meditation can measurably alter this area, for example by increasing its dimensions and volume, or enhancing the amount of tissue, or mind, present."
train_one_shot.en.30.1,foot soldier,None,EN,"Until we in the NPP appreciate the basic denominator, that scoring “A”s in all the Key Performance Indicators in good governance is meaningless unless it commiserates with the foot soldier’s welfare, it will be difficult to make headway” the group stated.","Until we in the NPP appreciate the basic denominator, that scoring “A”s in all the Key Performance Indicators in good governance is meaningless unless it commiserates with the important worker without authority’s welfare, it will be difficult to make headway” the group stated.",1,,
