DataID,Language,MWE,Setting,Previous,Target,Next,Label
train_one_shot.EN.255.1,EN,health check,one_shot,Illustration for article titled Unarmed Black Man Fatally Shot by Texas Police Officer Responding to Mental Health Check ,"Over the weekend, an unarmed Black man was fatally shot by a police officer in Killeen, Texas, after the officer responded to a call for a mental health check.","Part of the confrontation that led to the shooting, as well as the family’s devastating reaction to it, was recorded by the Ring camera on the residence the officer was called to.",1
train_one_shot.EN.247.1,EN,cotton candy,one_shot,Ariel Winter is digging her latest hair color.,"The “Modern Family” star revealed earlier this month that she dyed her hair ""cotton candy"" pink and she recently debuted longer extensions to complete the new hairstyle.","Winter, 22, flaunted her look on Wednesday with a colorful photo showing the television actress wearing a plunging white shirt, a pink mini skirt to match her hair, and iridescent heels.",0
train_one_shot.EN.247.2,EN,cotton candy,one_shot,"While ""The Masked Singer"" is away, ""The Masked Dancer"" will play in its time slot with the second episode of its first season this Wednesday.","And with the new hour comes the arrival of Group B: Sloth, Ice Cube, Zebra, Cotton Candy and Moth.","In TheWrap's exclusive sneak peek from tomorrow's episode, panelist Brian Austin Green makes a guess about the identity of one of those five dancers based not on their dancing, but on a punctuation mark included in a clue package.",1
train_one_shot.EN.222.1,EN,food market,one_shot,"The profiling enfolds key information of the companies which encompasses business overview, products and services, key financials and recent news and developments.","On the whole, the report depicts detailed overview of the global ready to eat food market that will help industry consultants, equipment manufacturers, existing players searching for expansion opportunities, new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future.",Research Nester is a leading service provider for strategic market research and consulting.,0
train_one_shot.EN.222.2,EN,food market,one_shot,The report studies the competitive environment of the Wet Pet Food Market is based on company profiles and their efforts on increasing product value and production.,Wet Pet Food Market research study involved the extensive usage of both primary and secondary data sources.,"The research process involved the study of various factors affecting the industry, including market environment, competitive landscape, historical data, present trends in the market, technological innovation, upcoming technologies and the technical progress in related industry, and market risks, opportunities, market barriers, and challenges.",1
train_one_shot.EN.130.1,EN,insurance company,one_shot,"Sixth Street also previously invested in UK pensions startup, Clara, and in Lifetri, a Dutch insurer.","In the Talcott transaction, Sixth Street is buying from a group of investors who have worked to grow the insurance company over the past several years, including Cornell Capital LLC, Atlas Merchant Capital LLC, TRB Advisors LP and Global Atlantic Financial Group.","The Talcott Resolution team has a proven ability to initiate, execute, and deliver results and we look forward to continuing what the consortium started through their strategic investment in the company's growth,"" said Waxman.",1
train_one_shot.EN.54.1,EN,pillow slip,one_shot,"She crossed the room to the closet, and opened the door. ","It was empty, but on the floor lay the pillow slip which Sylvia had defended from John so heatedly.",Edna looked at the white bag with some repugnance. ,1
train_one_shot.EN.86.1,EN,dust storm,one_shot,"This process in fact happens naturally when dust blows from the land to the ocean, particularly from deserts such as the Sahara and Patagonia.","But although dust storms are frequent during the Australian spring and summer, and Australian dust has a high iron content, witnessing the oceans bloom has proven elusive.","Now, however, armed with satellite data, we've recorded phytoplankton blooming, almost certainly due to Australian dust storms.",1
train_one_shot.EN.127.1,EN,flower child,one_shot,"Although I bet that DONNA GYLLING (who portrayed Elaine) didn't grow up in Manhattan, she sure sounded like it!","And AMANDA ABRIGHT (as Bobbi Michele) is certainly too young to have been a ""flower child,"" but she bloomed on stage splendidly!",And then there was CINDY SIPLE who played poor Jeanette Fisher who had a hard time even letting go of her purse!,0
train_one_shot.EN.127.2,EN,flower child,one_shot,"Now in your little white room with no windows and three square sedations a day   You plead with the doctor who's running the show   ""please don't take jasmine away and leave me alone.""",About “Incarceration Of A Flower Child”,This is a song originally written in 1968 by Roger Waters.,1
train_one_shot.EN.15.1,EN,economic aid,one_shot,"On Wall Street, the benchmark S&P; 500 index gained 1.6%, recovering some of losses earlier in the week amid frenzied trading of video game retailer GameStop and other stocks targeted by novice day traders.","In Washington, Biden invited 10 moderate Republicans to the White House to discuss his proposed $1.9 trillion economic aid plan.","Republicans earlier countered with an offer of $600 billion, or less than one-third of Biden’s proposed amount.",1
train_one_shot.EN.251.1,EN,fish story,one_shot,"Alan Sears said his son has also advanced to the next Cub Scout level, a Bear.","Armed with his new fishing pole, Brody Sears is likely anxious to land another big one and have another big fish story to tell.",Readers around Glenwood Springs and Garfield County make the Post Independent’s work possible.,0
train_one_shot.EN.251.2,EN,fish story,one_shot,Things to Do  Food & Drink  Arts & Culture  Movies  Travel  Time In  Time Out Market  Love Local  News  More,Children of Jaws' might have been a better title for this teen version of the big fish story.,"The switch in emphasis - away from an adult world in which expert and monster play out their duel, to one where healthy, wealthy but dumb kids are merely terrorised prawns - can't disguise the sense of d eja vu.",1
train_one_shot.EN.118.1,EN,dry land,one_shot,"And so, the ocean beckons.","Excited by the potential of uncovering ancient pasts, researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories, in search of sites that probably would have been destroyed or eroded if they lay on dry land.","You mustn't stop at the shoreline,"" says archaeologist Jonathan Benjamin, who steered the project in Murujuga.",0
train_one_shot.EN.118.2,EN,dry land,one_shot,"Due to the limitations of remote sensing images, LULC was not classified in enough detail.","For example, in the data set, there was no difference between dry land and paddy land.","Therefore, we used cultivated land as a representative and estimated the ESV of cultivated land rather than using separate calculations based on dry land and paddy land14,48.",1
train_one_shot.EN.170.1,EN,private eye,one_shot,Palladino uncovered a deliberate campaign by Big Tobacco to smear the executive following his allegations that tobacco products were spiked with chemicals to make them more addictive.,"The private eye later played himself in ""The Insider,"" the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe.","Mel Honowitz, Palladino's lawyer, told the San Franciso Chronicle: ""He investigated his own murder.",0
train_one_shot.EN.170.2,EN,private eye,one_shot,It depends how this interview goes down',"With time running out, I finish off my Hislop interview with some quickfire questions about life at Private Eye and the editor's future at the magazine.",Have you lost many friends because of coverage in the Eye?,1
train_one_shot.EN.144.1,EN,bow tie,one_shot,He liked the look and made them a part of his royal wardrobe.,"While the popularity of ties has waxed and waned over the last few centuries, the bow tie business is strong in 2011, as the piece of apparel is fashionable for both formal and casual dress.","Running a bow tie business is similar to running other clothing businesses, though bow tie business owners or operations managers should always be looking for new opportunities to grow the business and expand into new markets.",1
train_one_shot.EN.270.1,EN,closed book,one_shot,"For some, the answer is nothing.",His release is just another chapter in a closed book on one part of Detroit’s storied history.,"For those who didn’t do their homework, Kilpatrick became a convenient poster child of Detroit’s downfall, overlooking variables like a declining population and tax base, and its peripheral impact that spelled trouble for decades.",0
train_one_shot.EN.270.2,EN,closed book,one_shot,This will enrich your student experience and support your learning.,Assessments will consist of two hour closed book examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions.,"The programme will use a block teaching timetable, operating over two weekdays for the Full Time mode and online for the Part Time mode (including some interactive sessions).",1
train_one_shot.EN.267.1,EN,mental disorder,one_shot,"Specifically, the language of the bill states that the DOC may permit an offender committed to the department to remain within a treatment facility operated by the department for no longer than 14 days past their mandatory release date under certain circumstances.",One of those circumstances is if the offender has a serious physical or mental disorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department.,Another is if the department made a good faith effort to timely place the offender in a treatment setting outside the department on or before the offender’s mandatory release date.,1
train_one_shot.EN.104.1,EN,bad hat,one_shot,The disapproval is literally of the hats.,The moral character of a bad hat is secondary.,"Shocking, used as a quasi-adverb like this, was thought a vulgarism (though Wellington wouldn’t have minded).",0
train_one_shot.EN.104.2,EN,bad hat,one_shot,Anthony Sellitti is a writer and director with a diverse range of projects.,"After graduating from The School of Visual Arts in New York, Sellitti moved to Los Angeles, where he interned for Bryan Singer's production company, 'Bad Hat Harry' as well as Steven Spielberg's company, 'Dreamworks.'","Soon after, he began working with Dan Harris (X-Men: Apocalypse, Superman Returns, X2) as an assistant, and then began collaborating with the X-Men scribe on several film and TV projects as a co-writer.",1
train_one_shot.EN.275.1,EN,life vest,one_shot,Josh Hanlon lives in the trenches with our kids and our teachers.,He is a proverbial life vest that has pulled so many people through in times of despair during these extended periods of remote learning.,"He is the quintessential innovator in education, yet he remains balanced at all times in his approach to serve and support everyone with patience and compassion.”",0
train_one_shot.EN.150.1,EN,mailing list,one_shot,"Examples are lists of mailing addresses, telephone directories, directories of businesses, collections or compilations of proprietary drugs or legal case results, compilations of public records, etc.","The directory, mailing list and other publishers market is segmented into directory and mailing list and other publishers.","Some of the key players involved in the Directory, Mailing List, And Other Publishers Market are Thomson Reuters, Nielsen Holdings, YP Holdings LLC, Dex Media Inc., Gannett.",1
train_one_shot.EN.192.1,EN,elbow room,one_shot,"“As long as an officer might reasonably think that a warrantless search will alleviate a danger to the community, the search is considered constitutional,” the news outlet stated.","The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom, writing, ""At its core, the community caretaking doctrine is designed to give police elbow room to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention.""",Understanding the core purpose of the doctrine leads inexorably to the conclusion that it should not be limited to the motor vehicle context.,0
train_one_shot.EN.49.1,EN,call centre,one_shot,"Paula MacNeil, CEO for the hospital foundation, is thrilled employees chose to help them this year.","It's such a sign of the morale here at the call centre that each year they pick a charity they would like to help to support and they raise the money themselves and we are honoured that it is the hospital foundation this year.""","The patient care and pediatrics fund each ensure that families and patients with unexpected medical expenses receive financial help for things like prescriptions and equipment, travel costs or covering a heating bill.",1
train_one_shot.EN.215.1,EN,dream ticket,one_shot,"Now, of course, Betis, Alcoyano and whoever else remains in the competition after this week's round of 16 will have something to say about this concept.","But if the tantalising dream ticket of two ""Basque Clasico"" Copa finals in 14 April days can come off then the temperature, never mind that Sevilla can be rainy around Easter, will be absolutely fever pitch.","Don't forget, either, that there's still one Athletic vs. Real Sociedad derby in La Liga left to be played.",0
train_one_shot.EN.215.2,EN,dream ticket,one_shot,Email your wish to [email protected] or write to:,"Una’s Dream Ticket   Tyrone Productions   133 Capel Street,   Dublin 1.","The closing date for applications is July 19th, but the sooner you enter the better, because you never know how quickly your wish may come true.",1
train_one_shot.EN.38.1,EN,sacred cow,one_shot,a man sitting in a car: Chairman of the Clwyd South Conservative Association Gareth Baines \(pictured\) claimed mothers were taking their children into hospital 'for a day out' to 'harvest Facebook likes'  (C) Provided by Daily Mail Chairman of the Clwyd South Conservative Association Gareth Baines (pictured) claimed mothers were taking their children into hospital 'for a day out' to 'harvest Facebook likes',"In another post, he said: 'Our NHS is treated as a sacred cow and cannot be criticised.",Those arguing for reform are deemed to be Satan incarnate.,0
train_one_shot.EN.38.2,EN,sacred cow,one_shot,"But can a healthy, sustainable and conscientious food system exist without animals?","Sacred Cow probes the fundamental moral, environmental and nutritional quandaries we face in raising and eating animals.","In this film project, we focus our lens on the largest and perhaps most maligned of farmed animals, the cow.",1
train_one_shot.EN.79.1,EN,disability insurance,one_shot,"The report studies the value, volume, and the concentration rate of the market, that predicts the maximum growth for the forecast period.","The basic dynamics of the Disability Insurance market have been studied and stress is put upon the various influential factors such as the constraints, opportunities, strengths, and weaknesses.",Other latent factors are also evaluated that will further aid the study of the global Disability Insurance market.,1
train_one_shot.EN.261.1,EN,skin tone,one_shot,"TOKYO: Japanese online fashion retailer Zozo Inc on Friday launched skin tone measuring glasses for ordering cosmetics online, making its latest fashion tech offering as it expands beyond apparel.","Zozoglass"", a pair of spectacles covered with colour swatches and markers, detects skin tone when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site.","Traditionally in Japan you'd go to a large department store, you go to the counter and then you actually try stuff on,"" Zozo's Chief Operating Officer Masahiro Ito said in an interview.",1
train_one_shot.EN.87.1,EN,sugar daddy,one_shot,The federal government has had a big hand in funding this phenomenon: throwing money at roads while treating their surroundings as a design afterthought.,"At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities, and made a move toward “complete street” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it’s time for the U.S. Department of Transportation, newly helmed by Pete Buttigieg, to catch up and not simply function as a sugar daddy for highways.",It will be critical to support rail and other mass transit options.,0
train_one_shot.EN.87.2,EN,sugar daddy,one_shot,"CEO Thomas Giallonardo III, Justin’s father, also created a hostile work environment, according to the lawsuit.","An administrative assistant who worked as the senior Giallonardo’s personal assistant for six months witnessed him boasting about a sexual encounter with an underage girl while abroad and was asked to find her boss sexual partners on a site for “women who would have sex for compensation,” billed as “The Official Sugar Daddy Site.”",Other Giallonardo relatives were also implicated in the filing.,1
train_one_shot.EN.90.1,EN,wedding day,one_shot,Wedding photographer and Fuji ambassador John Branch IV runs you through how he gets ready for a couple’s big day.,"Branch has a number of tips that will make the wedding day itself run more smoothly and if there’s one aspect that I’d stress, it’s the need to make sure that you don’t find yourself formatting memory cards while shooting.","The first wedding I ever shot (as a favor to a friend with a tight budget) saw me hurriedly swapping out cards about two hours into the day, formatting the replacement card before I got back to work.",1
train_one_shot.EN.162.1,EN,peace conference,one_shot,Some delegates called upon stakeholders to galvanize efforts to concretely advance the Palestinian cause.,"Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international peace conference, with a view to advancing along the road towards a two-State solution.","The representative of Namibia declared: ""There is no 'plan B' for the two‑State solution.""",1
train_one_shot.EN.177.1,EN,think tank,one_shot,"The Oxford Economics said it believes that the outlook for exports in China remains positive, given the favorable global growth forecast, and ""the return to global economic growth should underpin solid export growth in 2021.""","Apart from the exports, the British think tank also said that import growth picked up in December too, resulting in faster growth in Q4 compared to the previous quarter.","We think goods imports will expand significantly in 2021, underpinned by strong domestic demand,"" said the think tank, noting that it ""anticipates imports of capital goods will outperform those of commodities (in 2021).""",0
train_one_shot.EN.177.2,EN,think tank,one_shot,"Someone who realizes a challenge and meets it should feel accomplished for taking action to better equip themselves, or their child, for the real world,"" finished Wilson.","Members of the media are invited to speak with Michael Wilson on his background and how he developed The Think Tank, as well as on education trends, by utilizing the contact information below.",Michael Wilson holds a Bachelors in Mechanical Engineering from Texas A&M University and an MBA from the University of North Texas.,1
train_one_shot.EN.103.1,EN,silver lining,one_shot,This is a year of a stronger collaboration.,"The silver lining this year especially for the hotels in Metro Manila, as you know, is the OFWs and balikbayans.","The government partnered with a lot of hotels to become quarantine hotels for Filipinos coming back home,” shared Pearl Maclang, Marco Polo Davao’s Director of Sales & Marketing and HSMA Director for Public Relations.",0
train_one_shot.EN.103.2,EN,silver lining,one_shot,"In the mid-1990s he was the singer and bassist for the rock band Perfect, and eventually joined the hard rock band Guns N' Roses in 1998.","Stinson released his debut solo album, Village Gorilla Head in 2004 and subsequently joined Soul Asylum for the completion of their album The Silver Lining, and was a member of the band for the album's tour in 2006 before joining them as a permanent member until 2011.","He released his second solo album, critically acclaimed One Man Mutiny, on his own Done To Death Music label in 2011.",1
train_one_shot.EN.27.1,EN,sitting duck,one_shot,"Jury pools would still consist of Custer County residents, but the proceedings would be in Pennington County.","Custer County Commissioner Mark Hartman has previously said he ""doesn’t want the courthouse to be a sitting duck for bad actors who may come to the courthouse to cause problems,"" the Custer County Chronicle reported in November.","The South Dakota Supreme Court ruling comes on the heels of the state's new chief justice's first state of the judiciary address, in which he said he would like to create a position dedicated to courthouse security around the state.",0
train_one_shot.EN.27.2,EN,sitting duck,one_shot,"These bands included future Camper Van Beethoven members bassist and vocalist David Lowery, guitarist and multi-instrumentalist Chris Molla, and often drummer Bill McDonald as well.","The Estonian Gauchos and a late incarnation of Sitting Duck also included another future Camper Van Beethoven member, bassist Victor Krummenacher, whose joining allowed Lowery to switch to rhythm guitar.","Sitting Ducks played a mixture of punk and acid rock, along with what Lowery described as ""fake Russian-sounding music"".",1
train_one_shot.EN.174.1,EN,goose egg,one_shot,"The decision might have been driven by the Platelets popularity from the previous season, but we get minimal interaction between our two leads for a cute character drama focusing on a platelet that's not very good at its job.","The danger in this episode is brought on by a hematoma, what is more commonly referred to as a ""bump"" or ""goose egg"" after hitting your head.","We've seen the platelets form blood clots in the previous season, and this one more or less follows the same routine with blood cells being whooshed out (thanks to the break in the capillaries and subsequent internal bleeding) and white blood cells getting stuck in platelets' fibrin nets to help form the clot.",0
train_one_shot.EN.109.1,EN,loan shark,one_shot,A Sports Illustrated story in 1993 didn't paint a pretty picture of Marciano's life after boxing.,"It said he was obsessed with collecting his payments for personal appearances in cash, evading paying income tax, having numerous sexual encounters with women other than his wife, never picking up a check, consorting with Mafia figures, and loaning more than $100,000 to finance a Cleveland loan shark.","On August 31, 1969, the day before Marciano's 46th birthday, Barbara Marciano had planned a joint birthday party for her husband and herself (Barbara had turned 40 on August 30) in their Fort Lauderdale home.",0
train_one_shot.EN.109.2,EN,loan shark,one_shot,Democrats Bernie Sanders and Alexandria Ocasio-Cortez have a plan to help you lower your credit card interest rate and get out of credit card debt.,They call it the Loan Shark Prevention Act.,"Here's what that means for your wallet.May 28, 2019",1
train_one_shot.EN.46.1,EN,busy bee,one_shot,"That is why we built it to be accessible on ordinary and cheap smartphones and readily accessible offline,” he said.","As many of his friends and colleagues know him to be, Esplago has always been a busy bee who makes changes happen whenever he goes.","In maritime circles, he is the tireless and eloquent young professional with hefty knowledge and capabilities hidden behind a bright, wide smile.",0
train_one_shot.EN.46.2,EN,busy bee,one_shot,"However, using analytics to build initial personas is a far better approach than using vague adjectives to describe prospects that don't mean anything to your sales team.","For example ""Busy Bee Mindy"" might be driven, motivated, and partial to using Slack, but this doesn't give your sales team anything to work with.",It doesn't accurately tell them what her role is nor what her pain points are.,1
train_one_shot.EN.231.1,EN,middle school,one_shot,The hallways at Urbana Middle School are set up for the return of students next week.,"URBANA — As Principal Joe Wiemelt and his staff mapped out what classes would look like when students return to Urbana Middle School on Tuesday, they began putting together a spreadsheet, detailing the various aspects they’d need to think about in different tabs.","Those tabs began to pile up as they planned out how they’d handle arrival and dismissal, transitioning students from one area to another, how a teacher might reserve a bigger room, and more.",1
train_one_shot.EN.12.1,EN,ancient history,one_shot, It is only at Mrs. Matthau's reminder that Gloria realizes who he is.,Both women brush the incident aside and chalk it up to ancient history. ,The characters of Lee Radziwill and Jacqueline Kennedy Onassis are then encountered when they walk into the restaurant together.,0
train_one_shot.EN.12.2,EN,ancient history,one_shot," Didn't they come sailing over from Denmark and Normandy, and all sorts of places, to settle down in England, which was a new country then, just as we're thinking of going out to Australia? ","Five hundred years hence we shall be quite ancient history ourselves, and folks can romance over our tombstones if they feel inclined."," And after all, why should one's ancestors do everything for one? I guess I'd rather make my mark in the world for myself,'—for the boy had all the enthusiasm of a pioneer about him, added to a sturdy spirit of independence.",1
train_one_shot.EN.218.1,EN,critical review,one_shot,"As a result, more than 3,000 children were separated from their families.","Department of Justice Inspector General Michael Horowitz released a critical review which found the department ""failed to effectively prepare for and manage the policy's implementation.""","Trump administration officials ""significantly underestimated [the policy's] complexities and demonstrated a deficient understanding of the legal requirements related to the care and custody of separated children.""",1
